Car Name,Price,Miles Driven,Below Market Price,Car Link,Accident History,Owner Count,Usage Type,Cylinders,Transmission,Dealer,Distance (mi),Transmission
2022 Chevrolet Silverado 1500 Limited,28995,44775,3235,https://www.edmunds.com/chevrolet/silverado-1500-limited/2022/vin/1GCPYBEK7NZ106235/?radius=6000,No accidents,1,Personal,4,,Burritt Chrysler Dodge Jeep Ram,44,manual
2024 Ford Edge,26669,1001,5762,https://www.edmunds.com/ford/edge/2024/vin/2FMPK4G95RBA60643/?radius=6000,No accidents,1,Personal,4,automatic,Marshal Mize Ford,989,automatic
2023 Jeep Gladiator,26920,43599,4233,https://www.edmunds.com/jeep/gladiator/2023/vin/1C6HJTAG1PL523797/?radius=6000,1 accident,1,Rental,6,,ALM Chrysler Dodge Jeep Ram,190,manual
2021 GMC Sierra 1500,34988,37150,6047,https://www.edmunds.com/gmc/sierra-1500/2021/vin/3GTU9CET0MG352346/?radius=6000,No accidents,1,Personal,6,,Spurr Chevrolet GMC,980,manual
2019 Ram ProMaster Window Van,26285,96872,5557,https://www.edmunds.com/ram/promaster-window-van/2019/vin/3C6TRVPG1KE529090/?radius=6000,No accidents,0,Unknown,6,automatic,Burritt Chrysler Dodge Jeep Ram,44,automatic
2023 Ford Bronco Sport,25995,6410,2314,https://www.edmunds.com/ford/bronco-sport/2023/vin/3FMCR9B6XPRE36532/?radius=6000,No accidents,1,Personal,3,automatic,Perry Ford of National City,390,automatic
2023 Mazda CX-5,24485,36619,2425,https://www.edmunds.com/mazda/cx-5/2023/vin/JM3KFBEM2P0113996/?radius=6000,No accidents,1,corporate fleet vehicle,4,automatic,Burritt Chrysler Dodge Jeep Ram,44,automatic
2024 Buick Encore GX,24967,6757,2948,https://www.edmunds.com/buick/encore-gx/2024/vin/KL4AMDSL4RB102808/?radius=6000,No accidents,0,Unknown,3,automatic,Charles Boyd Chevrolet GMC,192,automatic
2021 Ram 1500 Classic,27999,29592,3122,https://www.edmunds.com/ram/1500-classic/2021/vin/1C6RR7GG1MS591255/?radius=6000,No accidents,1,personal use,6,,Burritt Chrysler Dodge Jeep Ram,44,manual
2013 Dodge Grand Caravan,9285,74752,4390,https://www.edmunds.com/dodge/grand-caravan/2013/vin/2C4RDGBGXDR788098/?radius=6000,No accidents,1,corporate fleet vehicle,6,automatic,Burritt Chrysler Dodge Jeep Ram,44,automatic
2024 BMW X3,39990,6723,0,https://www.edmunds.com/bmw/x3/2024/vin/5UX43DP01R9V76791/?radius=6000,No accidents,1,personal use,4,automatic,Carvana - San Antonio,150,automatic
